wavelength	RI	
0.945	   0.38048	
0.9451	  0.381152	
0.9452	  0.381846	
0.9453	  0.382564	
0.9454	  0.383305	
0.9455	  0.384072	
0.9456	  0.384867	
0.9457	  0.385689	
0.9458	  0.386543	
0.9459	  0.387428	
0.946	  0.388348	
0.9461	  0.389303	
0.9462	  0.390297	
0.9463	  0.391332	
0.9464	   0.39241	
0.9465	  0.393535	
0.9466	   0.39471	
0.9467	  0.395937	
0.9468	  0.397221	
0.9469	  0.398566	
0.947	  0.399977	
0.9471	  0.401458	
0.9472	  0.403015	
0.9473	  0.404654	
0.9474	  0.406382	
0.9475	  0.408205	
0.9476	  0.410134	
0.9477	  0.412175	
0.9478	  0.414341	
0.9479	  0.416641	
0.948	  0.419091	
0.9481	  0.421703	
0.9482	  0.424495	
0.9483	  0.427485	
0.9484	  0.430695	
0.9485	   0.43415	
0.9486	  0.437876	
0.9487	  0.441908	
0.9488	  0.446283	
0.9489	  0.451044	
0.949	  0.456243	
0.9491	  0.461939	
0.9492	  0.468204	
0.9493	  0.475121	
0.9494	  0.482793	
0.9495	  0.491338	
0.9496	  0.500903	
0.9497	  0.511665	
0.9498	  0.523839	
0.9499	  0.537689	
0.95	   0.55354	
0.9501	  0.571789	
0.9502	  0.592926	
0.9503	  0.617542	
0.9504	  0.646338	
0.9505	  0.680107	
0.9506	  0.719657	
0.9507	    0.7656	
0.9508	  0.817885	
0.9509	  0.874858	
0.951	  0.931682	
0.9511	  0.978454	
0.9512	  0.999889	
0.9513	  0.980217	
0.9514	  0.914014	
0.9515	   0.81362	
0.9516	  0.702349	
0.9517	  0.600213	
0.9518	  0.516795	
0.9519	  0.453192	
0.952	  0.406494	
0.9521	  0.372858	
0.9522	  0.348849	
0.9523	  0.331786	
0.9524	  0.319699	
0.9525	  0.311178	
0.9526	  0.305223	
0.9527	  0.301124	
0.9528	  0.298377	
0.9529	  0.296621	
0.953	  0.295592	
0.9531	  0.295102	
0.9532	  0.295009	
0.9533	   0.29521	
0.9534	  0.295629	
0.9535	  0.296207	
0.9536	    0.2969	
0.9537	  0.297676	
0.9538	  0.298509	
0.9539	  0.299379	
0.954	  0.300274	
0.9541	   0.30118	
0.9542	   0.30209	
0.9543	  0.302997	
0.9544	  0.303897	
0.9545	  0.304785	
0.9546	  0.305659	
0.9547	  0.306517	
0.9548	  0.307357	
0.9549	  0.308179	
0.955	  0.308982	
0.9551	  0.309765	
0.9552	  0.310529	
0.9553	  0.311274	
0.9554	     0.312	
0.9555	  0.312706	
0.9556	  0.313394	
0.9557	  0.314064	
0.9558	  0.314717	
0.9559	  0.315352	
0.956	  0.315971	
0.9561	  0.316573	
0.9562	   0.31716	
0.9563	  0.317732	
0.9564	  0.318289	
0.9565	  0.318832	
0.9566	  0.319361	
0.9567	  0.319877	
0.9568	   0.32038	
0.9569	  0.320872	
0.957	  0.321351	
