x-axis,1,2,3
second,Volt,Volt,Volt
-51.00000E-03,,,
-50.95000E-03,,,
-50.90000E-03,-11.97236E-03,+86.43216276E+00,-2.71356786E+00
-50.85000E-03,-12.97738E-03,+86.43216276E+00,-2.71356786E+00
-50.80000E-03,-10.96733E-03,+86.43216276E+00,-2.81407037E+00
-50.75000E-03,-11.46984E-03,+84.42211246E+00,-2.41206032E+00
-50.70000E-03,-9.96231E-03,+84.42211246E+00,-2.11055278E+00
-50.65000E-03,-7.95226E-03,+86.43216276E+00,-2.31155781E+00
-50.60000E-03,-10.46482E-03,+85.92965019E+00,-2.61306535E+00
-50.55000E-03,-12.97738E-03,+84.92462504E+00,-2.11055278E+00
-50.50000E-03,-10.46482E-03,+86.43216276E+00,-1.80904524E+00
-50.45000E-03,-11.97236E-03,+86.43216276E+00,-2.41206032E+00
-50.40000E-03,-10.46482E-03,+86.93467534E+00,-2.01005027E+00
-50.35000E-03,-8.45477E-03,+84.92462504E+00,-1.70854273E+00
-50.30000E-03,-11.97236E-03,+86.93467534E+00,-2.31155781E+00
-50.25000E-03,-8.45477E-03,+84.42211246E+00,-1.60804021E+00
-50.20000E-03,-11.97236E-03,+86.43216276E+00,-2.01005027E+00
-50.15000E-03,-9.96231E-03,+84.92462504E+00,-2.31155781E+00
-50.10000E-03,-10.46482E-03,+84.92462504E+00,-2.01005027E+00
-50.05000E-03,-9.96231E-03,+84.42211246E+00,-1.50753770E+00
-50.00000E-03,-9.96231E-03,+87.43718791E+00,-2.01005027E+00
-49.95000E-03,-12.47487E-03,+86.43216276E+00,-2.31155781E+00
-49.90000E-03,-10.46482E-03,+84.92462504E+00,-1.70854273E+00
-49.85000E-03,-8.95728E-03,+86.43216276E+00,-2.31155781E+00
-49.80000E-03,-10.46482E-03,+86.43216276E+00,-1.60804021E+00
-49.75000E-03,-10.96733E-03,+86.43216276E+00,-1.30653267E+00
-49.70000E-03,-9.96231E-03,+84.42211246E+00,-1.30653267E+00
-49.65000E-03,-8.95728E-03,+85.92965019E+00,-1.70854273E+00
-49.60000E-03,-7.44974E-03,+86.43216276E+00,-1.30653267E+00
-49.55000E-03,-11.46984E-03,+84.92462504E+00,-1.00502513E+00
-49.50000E-03,-10.46482E-03,+85.92965019E+00,-1.50753770E+00
-49.45000E-03,-11.97236E-03,+86.43216276E+00,-1.60804021E+00
-49.40000E-03,-11.97236E-03,+86.43216276E+00,-1.30653267E+00
-49.35000E-03,-9.96231E-03,+85.92965019E+00,-1.10552765E+00
-49.30000E-03,-13.98241E-03,+86.43216276E+00,-1.60804021E+00
-49.25000E-03,-12.97738E-03,+86.43216276E+00,-1.30653267E+00
